Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
9,5,Summer,South CBR,15.029101212121216,128.7260709090909,6.3,109.3,2,18,19.42607090909091,817.8333333333334,0.8356194495611697,160.8817190303032
9,5,Summer,Tugg,40.85618575757576,226.6743675757576,13.649999999999999,151.01363636363638,3,39,75.66073121212122,817.8333333333334,0.8356194495611697,160.8817190303032
9,5,Summer,Gungahlin,38.585697979797985,116.4038797979798,9.45,78.66212121212122,3,27,37.74175858585858,817.8333333333334,0.8356194495611697,160.8817190303032
9,5,Summer,Woden Valley,42.79953212121213,136.73892606060608,27.299999999999997,115.69393939393939,8,78,21.044986666666688,817.8333333333334,0.8356194495611697,160.8817190303032
10,5,Winter,Belconnen,54.76062545454546,232.12426181818182,28.7,169.06363636363636,10,82,63.06062545454546,834.0,0.7610382713036273,261.87130036363646
10,5,Winter,Nth CBR & City,32.54225454545455,267.1604363636364,10.5,150.04545454545453,3,30,117.11498181818186,834.0,0.7610382713036273,261.87130036363646
10,5,Winter,CBR East,0.6954763636363637,46.840930909090915,3.5,22.318181818181817,1,10,24.522749090909098,834.0,0.7610382713036273,261.87130036363646
10,5,Winter,South CBR,15.64189090909091,129.35098181818182,7.0,109.9090909090909,2,20,19.441890909090915,834.0,0.7610382713036273,261.87130036363646
10,5,Winter,Tugg,42.34010181818182,257.6855563636364,14.7,164.79090909090908,3,42,92.89464727272733,834.0,0.7610382713036273,261.87130036363646
10,5,Winter,Gungahlin,40.04330181818182,126.82512,10.5,82.95454545454545,3,30,43.870574545454545,834.0,0.7610382713036273,261.87130036363646
10,5,Winter,Woden Valley,45.229309090909084,157.6474909090909,30.099999999999998,130.8272727272727,8,86,26.820218181818177,834.0,0.7610382713036273,261.87130036363646
