Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
7,4,Summer,Nth CBR & City,140.36363636363637,3.5,143.86363636363637,0,10,40.93636363636364,755.75,0.9963051648593971,2.802727272727452
7,4,Summer,CBR East,17.727272727272727,1.75,19.477272727272727,0,5,25.686363636363637,755.75,0.9963051648593971,2.802727272727452
7,4,Summer,South CBR,103.0,1.75,104.75,0,5,8.922727272727286,755.75,0.9963051648593971,2.802727272727452
7,4,Summer,Tugg,136.27272727272728,5.25,141.52272727272728,0,15,41.640909090909105,755.75,0.9963051648593971,2.802727272727452
7,4,Summer,Gungahlin,68.9090909090909,5.25,74.1590909090909,0,15,-0.5954545454545439,755.75,0.9963051648593971,2.802727272727452
7,4,Summer,Woden Valley,85.54545454545455,12.25,97.79545454545455,0,35,-8.340909090909093,755.75,0.9963051648593971,2.802727272727452
8,4,Winter,Belconnen,136.06060606060606,16.45,152.51060606060605,7,47,19.21666666666667,770.1666666666667,0.8900087755975357,95.18060606060601
8,4,Winter,Nth CBR & City,136.0909090909091,4.199999999999999,140.29090909090908,2,12,87.8787878787879,770.1666666666667,0.8900087755975357,95.18060606060601
8,4,Winter,CBR East,18.636363636363637,2.0999999999999996,20.736363636363635,1,6,24.754545454545458,770.1666666666667,0.8900087755975357,95.18060606060601
8,4,Winter,South CBR,102.48484848484848,2.0999999999999996,104.58484848484848,1,6,9.100000000000009,770.1666666666667,0.8900087755975357,95.18060606060601
8,4,Winter,Tugg,149.84848484848484,6.3,156.14848484848486,3,18,56.142424242424255,770.1666666666667,0.8900087755975357,95.18060606060601
8,4,Winter,Gungahlin,72.57575757575758,6.3,78.87575757575758,3,18,3.554545454545462,770.1666666666667,0.8900087755975357,95.18060606060601
8,4,Winter,Woden Valley,96.12121212121212,15.049999999999999,111.17121212121212,8,43,-3.4681818181818187,770.1666666666667,0.8900087755975357,95.18060606060601
9,5,Summer,Belconnen,123.54545454545455,16.45,139.99545454545455,0,47,18.428787878787887,775.8333333333334,0.995214883229157,3.730303030303048
9,5,Summer,Nth CBR & City,142.4848484848485,4.199999999999999,146.6848484848485,0,12,43.9818181818182,775.8333333333334,0.995214883229157,3.730303030303048
9,5,Summer,CBR East,17.96969696969697,2.0999999999999996,20.06969696969697,0,6,25.74848484848485,775.8333333333334,0.995214883229157,3.730303030303048
9,5,Summer,South CBR,103.0,2.0999999999999996,105.1,0,6,8.596969696969708,775.8333333333334,0.995214883229157,3.730303030303048
9,5,Summer,Tugg,137.36363636363637,6.3,143.66363636363639,0,18,42.154545454545456,775.8333333333334,0.995214883229157,3.730303030303048
9,5,Summer,Gungahlin,69.21212121212122,6.3,75.51212121212122,0,18,2.3060606060605977,775.8333333333334,0.995214883229157,3.730303030303048
9,5,Summer,Woden Valley,88.39393939393939,15.049999999999999,103.44393939393939,0,43,-9.50454545454545,775.8333333333334,0.995214883229157,3.730303030303048
10,5,Winter,Belconnen,140.36363636363637,18.9,159.26363636363638,7,54,18.099999999999994,790.25,0.8901781636385607,97.49363636363637
10,5,Winter,Nth CBR & City,139.54545454545453,4.8999999999999995,144.44545454545454,2,14,90.17272727272729,790.25,0.8901781636385607,97.49363636363637
10,5,Winter,CBR East,18.818181818181817,2.4499999999999997,21.268181818181816,1,7,24.877272727272732,790.25,0.8901781636385607,97.49363636363637
